customer_id,gender,senior_citizen,tenure,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,payment_method,has_partner,has_dependents,churned,contract_months
PETRA-00214,Female,0,10,30.46,321.09,Month-to-month,DSL,1,Credit card,0,1,0,1
PETRA-00215,Male,0,38,44.47,2311.89,Month-to-month,No,1,Electronic check,1,1,0,1
PETRA-00216,Male,0,3,51.84,207.49,Two year,Fiber optic,2,Electronic check,1,0,0,24
PETRA-00217,Male,0,58,51.14,4757.50,Month-to-month,DSL,2,Credit card,0,0,0,1
PETRA-00218,Male,0,17,66.54,1178.12,Month-to-month,DSL,1,Mailed check,1,1,0,1
PETRA-00219,Female,0,47,38.34,151.67,Month-to-month,Fiber optic,1,Credit card,1,1,0,1
PETRA-00220,Male,0,13,61.90,0.00,One year,DSL,0,Electronic check,1,0,0,12
PETRA-00221,Male,1,19,46.13,1159.41,One year,Fiber optic,2,Mailed check,0,0,0,12
PETRA-00222,Female,0,20,56.99,241.27,Month-to-month,Fiber optic,1,Bank transfer,0,0,0,1
PETRA-00223,Male,0,18,65.66,1749.76,Month-to-month,Fiber optic,1,Mailed check,1,0,0,1
PETRA-00224,Female,0,12,90.55,2104.79,One year,Fiber optic,1,Electronic check,1,0,0,12
PETRA-00225,Male,0,32,92.91,2513.79,Month-to-month,Fiber optic,3,Electronic check,0,0,0,1
PETRA-00226,Female,0,47,57.05,4954.67,Month-to-month,Fiber optic,1,Mailed check,1,0,0,1
PETRA-00227,Female,0,18,73.94,1572.14,Two year,No,0,Electronic check,0,1,0,24
PETRA-00228,Female,0,46,56.56,2648.95,Month-to-month,DSL,1,Bank transfer,1,1,0,1
PETRA-00229,Male,1,17,53.98,964.45,Month-to-month,No,3,Electronic check,1,1,1,1
PETRA-00230,Male,0,48,66.14,1328.40,One year,DSL,1,Bank transfer,1,0,0,12
PETRA-00231,Female,0,9,53.16,157.39,One year,DSL,0,Bank transfer,1,0,0,12
PETRA-00232,Male,0,10,40.84,0.00,Month-to-month,Fiber optic,0,Credit card,0,0,0,1
PETRA-00233,Female,0,16,55.58,432.93,Month-to-month,DSL,0,Bank transfer,1,0,0,1
PETRA-00234,Male,0,1,88.16,259.31,Month-to-month,DSL,2,Electronic check,0,0,1,1
PETRA-00235,Female,0,55,28.87,0.00,Month-to-month,DSL,2,Mailed check,1,0,0,1
PETRA-00236,Female,0,25,61.40,270.83,Month-to-month,Fiber optic,2,Mailed check,1,1,0,1
PETRA-00237,Male,0,16,35.07,244.72,Month-to-month,Fiber optic,1,Credit card,0,1,0,1
PETRA-00238,Male,0,0,20.64,0.00,Month-to-month,DSL,0,Bank transfer,0,0,0,1
PETRA-00239,Female,0,24,39.22,1118.72,Month-to-month,Fiber optic,2,Bank transfer,0,1,0,1
PETRA-00240,Male,1,0,79.56,0.00,Month-to-month,DSL,0,Credit card,0,0,0,1
PETRA-00241,Female,0,2,80.97,139.43,One year,No,0,Bank transfer,0,0,0,12
PETRA-00242,Male,0,19,91.88,707.61,One year,DSL,2,Bank transfer,1,0,0,12
PETRA-00243,Female,1,3,75.73,151.61,Two year,Fiber optic,3,Mailed check,1,0,0,24
PETRA-00244,Female,1,7,86.83,582.41,One year,Fiber optic,1,Credit card,1,0,1,12
PETRA-00245,Male,0,34,90.88,2798.87,One year,Fiber optic,1,Electronic check,1,0,0,12
PETRA-00246,Female,0,72,39.78,6835.81,Month-to-month,No,2,Mailed check,1,0,0,1
PETRA-00247,Male,0,23,90.98,2051.33,One year,DSL,2,Electronic check,0,1,0,12
PETRA-00248,Female,0,39,49.83,1658.15,Month-to-month,Fiber optic,0,Credit card,1,0,0,1
PETRA-00249,Male,0,7,45.00,0.00,Two year,Fiber optic,0,Credit card,1,0,0,24
PETRA-00250,Male,0,9,85.06,894.08,Two year,Fiber optic,1,Mailed check,1,0,0,24
PETRA-00251,Male,0,45,28.76,0.00,Month-to-month,Fiber optic,1,Credit card,1,0,1,1
PETRA-00252,Male,1,26,107.70,3881.55,Two year,DSL,3,Credit card,1,0,0,24
PETRA-00253,Male,0,63,101.45,7028.21,One year,DSL,4,Mailed check,1,0,0,12
PETRA-00254,Female,0,10,97.11,1513.54,One year,DSL,2,Electronic check,1,1,0,12
PETRA-00255,Male,0,12,47.37,315.98,Month-to-month,No,4,Electronic check,0,0,1,1
PETRA-00256,Female,1,29,51.04,1508.13,Month-to-month,Fiber optic,5,Credit card,1,0,1,1
PETRA-00257,Male,1,13,69.77,1336.02,Two year,DSL,2,Bank transfer,0,0,0,24
PETRA-00258,Male,0,2,72.56,50.69,Month-to-month,Fiber optic,1,Electronic check,0,1,0,1
PETRA-00259,Female,0,58,98.04,8114.20,Month-to-month,Fiber optic,2,Bank transfer,1,0,0,1
PETRA-00260,Female,0,37,59.32,3061.50,Month-to-month,Fiber optic,1,Credit card,0,0,0,1
PETRA-00261,Male,0,1,58.92,48.13,Month-to-month,Fiber optic,1,Credit card,1,1,0,1
PETRA-00262,Male,0,23,97.59,4724.76,One year,Fiber optic,0,Electronic check,0,0,0,12
PETRA-00263,Female,0,19,49.98,1292.29,One year,DSL,4,Credit card,1,0,1,12
PETRA-00264,Female,0,53,96.10,0.00,Two year,Fiber optic,3,Mailed check,0,0,0,24
PETRA-00265,Female,0,11,20.00,372.26,One year,DSL,1,Credit card,1,0,0,12
PETRA-00266,Male,0,3,22.37,14.46,One year,DSL,0,Credit card,0,1,0,12
PETRA-00267,Male,0,25,67.14,2615.68,Two year,Fiber optic,2,Mailed check,0,0,0,24
PETRA-00268,Female,0,17,72.00,1477.18,Month-to-month,Fiber optic,2,Mailed check,0,0,0,1
PETRA-00269,Female,0,10,99.10,0.00,One year,No,0,Electronic check,1,0,0,12
PETRA-00270,Male,0,72,21.63,2216.31,Two year,DSL,3,Mailed check,1,0,0,24
PETRA-00271,Male,0,23,20.00,388.63,One year,Fiber optic,2,Credit card,1,0,1,12
PETRA-00272,Male,0,10,94.90,643.79,One year,No,1,Bank transfer,0,1,0,12
PETRA-00273,Female,0,6,42.21,178.40,Month-to-month,Fiber optic,2,Credit card,0,0,0,1
PETRA-00274,Male,1,57,76.33,6753.67,Month-to-month,No,0,Bank transfer,0,1,0,1
PETRA-00275,Male,0,1,22.02,0.00,One year,No,1,Electronic check,1,1,0,12
PETRA-00276,Male,1,46,121.81,9969.88,One year,No,1,Electronic check,1,0,0,12
PETRA-00277,Female,1,3,83.46,0.00,Month-to-month,No,1,Credit card,0,1,1,1
PETRA-00278,Male,0,1,70.56,94.21,Month-to-month,Fiber optic,2,Bank transfer,1,1,1,1
PETRA-00279,Male,0,13,26.16,523.98,Month-to-month,Fiber optic,1,Mailed check,1,0,0,1
